"id_igreja";"nome";"paroco";"endereco";"bairro";"cidade";"uf";"pais";"cep";"telefones";"observacao";"latitude";"longitude";"src_missas";"src_confissoes";"url";"email";"diocese";"hash";"hash_matriz";"last_modified"
22;"Catedral Metropolitana de São Sebastião do Rio de Janeiro";"Mons.Aroldo da Silva Ribeiro";"Av. República do Chile, 245";"Centro";"Rio de Janeiro";"RJ";"Brasil";"20031-170";"(21) 2240-2669";"";-22.909295;-43.180751;"Seg a Sex 11:00
Sab e Dom 10:00";"";"http://www.catedral.com.br";"";"Rio de Janeiro";"b0T3i";NULL;"2013-04-23 18:58:45"
23;"Anunciação a Nossa Senhora";"Pe. Boguslaw Batkiewicz";"Rua Frei Pinto, 27";"Riachuelo";"Rio de Janeiro";"RJ";"Brasil";"20950-140";"(21) 2501-0299";"";-22.90248;-43.252684;"Seg a Sex 07:30
Sab 08:00
Dom 07:30 09:30 18:00";"";"";"";"Rio de Janeiro";"DKDTF";NULL;"2012-12-29 13:22:16"
24;"Apóstolo São Pedro";"Pe. Ludendorff Cohen Couto";"Rua Antônio Saraiva, 23";"Cavalcante";"Rio de Janeiro";"RJ";"Brasil";"21370-250";"(21) 3296-8650";"";-22.872496;-43.313668;"Seg Qui Sex 18:00
Sab 17:00
Dom 7:30 12:00 18:00";"";"";"";"Rio de Janeiro";"pdxsm";NULL;"2012-12-29 13:22:16"
25;"Bom Jesus da Penha";"Pe. Alceu Luiz Weber, SCJ";"Av. Brás de Pina, 181";"Penha";"Rio de Janeiro";"RJ";"Brasil";"21070-030";"(21) 2260-0008";"";-22.841111;-43.280119;"Dom 7:00 8:30 10:00 18:00
Seg 7:00 19:30
Ter Qui Sex 07:00 09:00 19:30
Qua 07:00 09:00
Sab 07:00 09:00 18:00
1a Sex 15:30
1o Sab 12:00";"";"http://www.paroquiabomjesus.com";"";"Rio de Janeiro";"RxiIJ";NULL;"2012-12-29 20:28:12"
26;"Bom Pastor";"Pe. Paulo Romão";"Rua Bom Pastor, 481";"Tijuca";"Rio de Janeiro";"RJ";"Brasil";"20521-020";"(21) 2284-0936";"";-22.9303842;-43.232701;"Seg, qua, qui, sex 8h
sábado 18h
domingo 10h, 19h
domingo 8h30 (Capela São Sebastião na Comunidade do Salgueiro)";"sexta-feira 17h às 19h (Aconselhamento e confissões - Marcar com a secretária)";"http://www.obompastor.org.br";"";"Rio de Janeiro";"4HShq";NULL;"2013-01-12 13:29:42"
27;"Bom Pastor e Nossa Senhora de Fátima";"Pe. Gilson de Oliveira e Silva";"Rua Vitor Alves, 404";"Campo Grande";"Rio de Janeiro";"RJ";"Brasil";"23080-180";"(21) 2413-5656";"";-22.899109;-43.563316;"Ter 19:30 (capela)
Qua 19:30
Dom 07:00 07:30 19:00 
Dom 09:00 (capela)
";"";"http://sites.uol.com.br/paroquiabpnsf";"";"Rio de Janeiro";"gbD7N";NULL;"2013-01-12 13:29:42"
28;"Coração Eucarístico de Jesus";"Pe. Givanildo Luiz de Andrade";"Rua Coração Eucarístico, 260";"Santíssimo";"Rio de Janeiro";"RJ";"Brasil";"23010-170";"(21) 2404-2064";"";-22.880844;-43.509653;"Seg Qua Sex 19:00
Dom 07:00 09:00 19:00";"";"";"";"Rio de Janeiro";"IuxWu";NULL;"2013-01-12 13:29:42"
29;"Cristo Operário e Santo Cura d'Ars";"Pe. José Carlos Lino de Souza";"Av. Etiópia, s/n";"Vila Kennedy";"Rio de Janeiro";"RJ";"Brasil";"21852-010";"(21) 3467-2766";"";-22.856345;-43.489834;"Seg a Qui 19:00
Sab 19:00
Dom 07:00 09:00 19:00";"";"";"";"Rio de Janeiro";"vEhwR";NULL;"2013-01-12 13:29:42"
30;"Cristo Redentor";"Pe. Adam Folta, SVD";"Rua das Laranjeiras, 519";"Laranjeiras";"Rio de Janeiro";"RJ";"Brasil";"22240-005";"(21) 2558-5179";"";-22.938502;-43.192774;"Seg a Sab 08:00 18:00
Dom 09:00 11:00 18:00 20:00
";"Sexta 16h às 18h";"http://www.cristoredentor-rj.com.br";"adam@cristoredentor-rj.com.br";"Rio de Janeiro";"XYSLy";NULL;"2013-01-10 20:00:25"
31;"Cristo Rei";"Pe. Niraldo Lopes de Carvalho";"Rua Oliveira Figueiredo, 78";"Vaz Lobo";"Rio de Janeiro";"RJ";"Brasil";"21361-070";"(21) 3351-3696";"";-22.856942;-43.328347;"Seg Qui 18:30
Ter Sab 08:00
Dom 7:00 9:00 11:00 19:00";"";"";"";"Rio de Janeiro";"9sClV";NULL;"2013-01-12 13:29:42"
